Code,Collection,Category,Name,Variant Name,Price,In Stock,URL,Image URL,Body
,Other Products,Vegetables,Garlic (medium size),Default Title,1.50,Yes,https://shop.solidground.farm/products/garlic-medium-size,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/garlic.jpg?v=1605128846,"<p>Medium-sized German White garlic, great flavor for a variety of uses. Usually 4-5 cloves per head.</p>"
,Other Products,Vegetables,Squash: Butternut Squash,2 lb,3.00,Yes,https://shop.solidground.farm/products/butternut-squash,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/butternut.jpg?v=1605127910,"<p>The king of winter squash. Excellent sweet flavor, great for roasting, soups, and more.  Butternuts are $1.50 per pound, most squash are multiple pounds. </p>"
,Other Products,Maple Syrup,Tree Juice Maple Syrup - half gallon,Default Title,35.00,Yes,https://shop.solidground.farm/products/tree-juice-maple-syrup-half-gallon,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/treejuicemaplesyrupbottle.png?v=1609722913,"A half gallon of the sweet stuff!  Get a half gallon of delicious dark maple syrup, courtesy of our friends at Tree Juice."
,Other Products,Honey,2 lb Wildflower Honey from Damn Good Honey,Default Title,19.00,Yes,https://shop.solidground.farm/products/2-lb-wildflower-honey-from-damn-good-honey,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/Damn-Good-Honey-logo-150x150.jpg?v=1639368695,"<div class=""gwt-HTML"" role=""text"" tabindex=""0"" data-mce-fragment=""1"" data-mce-tabindex=""0"" itemprop=""description"">
<p data-mce-fragment=""1"">Pure unfiltered, unprocessed wildflower honey from Kerhonkson, NY.  Comes in a 2 lb jar.<br></p>
</div>"
,Other Products,Eggs,"Old Ford Farm Eggs, one dozen",Default Title,7.50,No,https://shop.solidground.farm/products/old-ford-farm-eggs-one-dozen,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/Old-Ford-Farm-logo.png?v=1638156614,We picked up some eggs from Old Ford Farm that are up for grabs - order them while we've got them!
,Other Products,Vegetables,Squash: Koginut Squash,1.5 lb,3.00,Yes,https://shop.solidground.farm/products/koginut-squash,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/koginutsquash.png?v=1605129653,"<p>A new-on-the-scene winter squash with deep, smoky sweetness and a creamy texture. Koginuts are $2.00 per pound, most squash are multiple pounds.  Note that you have the option to choose the squash size, as well as a quantity.<br></p>"
,Other Products,Vegetables,Squash: Koginut Squash,2 lb,4.00,Yes,https://shop.solidground.farm/products/koginut-squash,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/koginutsquash.png?v=1605129653,"<p>A new-on-the-scene winter squash with deep, smoky sweetness and a creamy texture. Koginuts are $2.00 per pound, most squash are multiple pounds.  Note that you have the option to choose the squash size, as well as a quantity.<br></p>"
,Other Products,Vegetables,Sweet Potatoes - 2 lb,Default Title,4.00,Yes,https://shop.solidground.farm/products/sweet-potatoes,https://cdn.shopify.com/s/files/1/0507/3213/8680/files/sweetpotatoes.jpg?v=1731292626,"<div class=""gwt-HTML"" role=""text"" tabindex=""0"" data-mce-fragment=""1"" data-mce-tabindex=""0"" itemprop=""description"">
<p data-mce-fragment=""1"">Amazingly sweet and healthy - two pounds of sweet potatoes for roasting, mashing, frying - you name it!<br></p>
</div>"
,Other Products,Vegetables,Food Pantry Donation,Default Title,10.00,Yes,https://shop.solidground.farm/products/food-pantry-donation,https://cdn.shopify.com/s/files/1/0507/3213/8680/files/Fooddonationpic.jpg?v=1762750279,<p>This winter Solid Ground will be making regular food donations to local food banks - add this donation item to your cart to bolster the donation effort with $10 of additional produce.</p>
,Roots,Vegetables,Winter Radish Mix (2 lb),Default Title,4.50,Yes,https://shop.solidground.farm/products/winter-radish-mix-2-lb,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/PXL_20210117_144411794.jpg?v=1610895169,"A medley of our four delicious winter radishes - daikon, watermelon, green luobo, and black spanish.  Makes a great choice if you want some diversity in your roots, or if you'd like to do a taste test to determine your favorite radish.  Comes in a two-pound mix bag."
